;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Live Spectrum 25-Jul-19 2:57:58 PM;Live Spectrum 25-Jul-19 2:57:59 PM;Live Spectrum 25-Jul-19 2:58:00 PM;Live Spectrum 25-Jul-19 2:58:01 PM;Live Spectrum 25-Jul-19 2:58:02 PM;Live Spectrum 25-Jul-19 2:58:03 PM;Live Spectrum 25-Jul-19 2:58:04 PM;Live Spectrum 25-Jul-19 2:58:05 PM;Live Spectrum 25-Jul-19 2:58:06 PM;Live Spectrum 25-Jul-19 2:58:07 PM;Live Spectrum 25-Jul-19 2:58:08 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;
Wavelength [nm];Intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;
275,726;-65;-42;248;363;349;348;378;359;361;314;349;246;341;440;434;412;-21;-23;82;-62;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;
1009,806;4,0479;-21,25;3,444;37,403;11,044;18,849;33,549;68,647;46,998;10,346;44,599;33,497;69,3;21,56;112,7;-4,8987;0,55063;-37,352;28,053;-7,5453;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;-43,499;
1010,135;4,9029;3,9288;27,812;30,055;48,867;23,65;52,964;82,644;41,595;40,916;24,456;51,825;44,896;-0,61815;66,854;-3,4272;12,055;-35,181;-1,0906;-40,042;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;-9,6667;
1010,464;-11,8;28,033;18,801;58,033;37,066;52,501;55,7;68,033;16,033;38,333;-3,9328;10,999;41,501;66,5;26,633;1,733;25,3;-37,133;-6,8333;-31,367;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;17,032;
1010,793;31,104;-14,453;44,575;50,124;57,453;63,647;39,375;51,573;21,425;28,9;28,601;-27,649;64,523;30,447;41,703;-2,5489;21,401;-9,974;7,4012;-3,5728;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;-3,3971;
1011,122;22,423;-57,336;9,9262;66,456;67,262;18,148;25,98;64,141;58,658;19,114;16,329;31,993;33,181;22,221;56,081;31,221;-12,51;0,51678;3,9799;-5,2886;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;9,4631;
1011,451;-3,4481;-44,655;17,545;86,738;84,545;57,718;5,9724;71,862;57,924;18,055;47,835;78,91;46,904;43,559;47,91;14,013;11,035;-0,11725;34,807;-34,704;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;25,842;
1011,780;-9,0182;-5,9818;44,397;54,577;57,95;64,572;-8,2089;36,386;47,214;27,802;67,582;82,601;74,008;84,835;97,24;2,6162;76,611;-25,621;69,198;-9,9739;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;7,7625;
1012,109;14,907;17,637;13,73;22,865;28,352;66,13;42,182;43,347;39,368;20,005;35,368;47,02;44,663;52,248;60,538;20,14;60,585;-77,98;6,963;6,7875;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;9,8397;
1012,438;-3,0159;5,2033;4,1604;78,658;26,155;89,952;82,898;27,674;18,048;-4,1657;-11,278;72,176;3,0963;58,7;41,481;25,738;-0,91429;-65,829;-7,1498;-53,182;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;-5,8555;
1012,767;6,6145;-13,9;10,633;52,044;74,595;84,1;69,559;-12,341;13;-22,447;39,583;63,932;24,975;35,578;50,727;0,8389;35,862;-15,392;-8,1738;-41,485;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;-16,64;
1013,096;-35,274;22,743;58,892;94,805;50,182;106,91;47,625;61,56;63,736;-11,394;24,257;19,176;31,619;76,117;77,137;10,218;24,176;-21,218;23,362;34,498;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;21,13;
1013,425;-13,695;4,9942;59,214;44,257;48,354;113,38;50,299;48,884;44,128;5,1645;37,951;-55,878;76,225;30,555;70,403;8,7013;31,841;-38,354;26,701;-14,31;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;34,433;
1013,754;-32,295;8,2356;54,294;74,913;24,558;98,5;-27,326;99,708;-11,766;22,5;3,0575;-4,4685;84,441;49,266;55,058;-50,149;3,5872;-96,443;18,176;42,502;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;-13,619;
1014,083;15,84;36,868;52,209;85,687;11,94;84,357;9,1529;82,237;57,916;41,121;27,346;83,125;65,193;4,8471;5,5339;17,916;37,406;-54,056;19,687;17,385;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;41,587;
1014,412;-15,511;-1,2621;17,302;45,676;29,756;39,862;53,449;36,8;77,316;7,3645;45,067;11,351;95,822;12,129;0,93778;-5,8221;-9,5776;-17,991;-15,635;-11,382;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;-5,391;
1014,741;-13,099;-12,823;-12,448;19,473;59,428;44,842;78,546;67,33;34,868;-23,428;-29,482;53,054;72,513;-18,369;-24,487;-20,744;63,462;-43,448;-35,645;2,6845;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;62,561;
1015,070;-65,249;17,435;30,615;82,648;-16,738;-12,987;44,52;16,615;29,525;5,3667;-36,656;45,118;-10,502;36,661;84,367;9,4345;-22,068;-8,1762;-3,0226;-17,955;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;-11,299;
1015,399;-72,873;-5,697;15,629;-13,332;74,876;67,876;63,026;1,8894;9,9121;-19,72;-57,573;7,9773;11,13;24,541;51,658;-13,371;-21,742;-55,352;-8,6908;-16,065;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;15,352;
1015,728;-18,413;9,6606;36,091;76,51;-7,3984;-5,5652;11,063;27,815;17,937;16,986;50,616;20,276;21,941;54,537;-20,476;10,539;25,646;-5,0467;-60,488;-11,291;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;-30,321;
1016,057;51,966;-14,989;17,872;137,36;31,923;110,54;51,043;22,668;-13,611;45,483;69,119;17,293;79,287;7,7756;24,83;7,6221;28,29;-20,043;50,534;28,773;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;17,622;
1016,386;9,2995;7,2113;43,859;67,366;8,9849;83,087;42,895;43,982;31,296;24,439;93,175;74,245;-5,7355;33,84;61,666;-28,21;12,614;-9,579;-39,894;-12;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;-24,772;
1016,715;29,61;22,395;32,872;8,6052;62,543;59,908;38,723;14,508;-16,092;27,902;59,79;50,01;20,733;15,79;24,159;-13,2;16,897;-14,831;-9,7744;-29,221;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;-29,415;
1017,045;-5,5739;1,8361;75,049;41,705;12,41;71,377;-6,7542;-11,328;10,984;-9,5739;22,016;37,082;-2,2789;82,148;9,8032;-33,803;33,771;-35,147;-35,656;-63,541;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;-28,148;
1017,374;8,5652;10,431;39,827;61,389;17,424;15,428;4,6042;-4,106;2,5018;17,106;46,255;-10,385;30,71;-12,318;44,792;-12,572;23,498;-32,487;-26,304;0,038939;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;-19,431;
1017,703;-20,72;0,31199;57,703;32,44;13,408;38,061;29,087;27,146;19,653;6,2624;41,574;39,382;25,764;4,1778;44,295;-8,5248;19,102;37,28;57,432;-4,137;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;-36,28;
1018,032;2,926;-27,148;42,889;45,037;46,963;86,593;71,704;18,037;41,148;14,704;0,14819;33,222;52,148;15,667;19,963;-11,556;10,889;11,222;27,593;-32,037;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;-10,222;
1018,361;0,61362;2,4621;28,372;66,032;62,023;93,209;66,244;-3,579;38,582;41,703;31,375;11,11;52,055;-12,564;48,329;6,8601;-0,48267;-47,166;15,055;-22,154;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;4,9102;
1018,690;1,0627;-7,2352;-6,8891;56,901;62,271;55,579;53,677;76,84;28,901;35,617;55;33,84;67,371;6,0146;59,606;55,605;22,914;-13,11;-13,087;-7,7279;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;-42,383;
1019,019;8,5451;-51,012;9,2336;48,893;70,066;-1,1271;21,623;83,557;8,0082;17,947;26,545;28,746;66,725;49,418;42,07;8,8811;7,9877;1,5656;18,5;26,033;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;-5,291;
1019,348;-32,24;-53,76;38,54;40,22;61,2;-1,46;8,3601;60,02;17,22;2,88;-8,44;31,56;57;59,34;32,06;-13,56;30,18;-42,92;47,74;10,58;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;11,8;
1019,677;-23,427;-29,532;35,272;67,69;59,066;38,288;59,433;32,038;1,478;-24,196;-5,4019;-3,6264;37,051;64,44;0,51604;-2,8829;-2,9649;-51,13;37,351;-13,117;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;6,8449;
1020,006;-23,666;-11,334;36,666;22,002;61,667;79,666;29,67;36,333;4,3323;10,332;48,998;11,665;33,666;62,333;33,664;14,333;6,3315;-3,3351;-16,331;-30,333;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;-24,665;
1020,335;-56,275;-39,376;40,71;53,071;36,827;67,276;-8;18,146;15,87;-5,0569;31,103;56,014;47,942;37,044;42,856;-25,578;12,247;-21,187;3,7087;3,1872;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;-24,117;
1020,664;-63,987;-59,78;62,092;83,273;4,1417;42,934;4,8058;18,546;-4,5854;-54,144;34,339;11,517;52;57,144;55,598;-12,609;41,158;-55,326;33,039;-25,197;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;-43,118;
1020,993;-43,075;21,684;3,647;76,233;52,586;49,158;42,474;12,436;47,18;-68,985;18,684;11,534;49,609;54,451;21,557;-19,534;21,917;-17,963;36,797;-0,15059;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;1,3982;
1021,322;-31,276;-57,013;41,629;82,404;20,776;26,787;-11,193;69,672;95,618;23,289;30,649;68,948;24,627;40,074;58,065;24,746;7,2764;-12,883;-15,948;-46,31;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;41,894;
1021,651;11,562;-29,132;28,124;69,851;85,397;84,785;60,124;53,587;50,711;26,851;56,107;19,752;55,372;-46,008;60,81;25,157;19,264;-26,38;-8,3141;-26,05;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;-40,545;
1021,980;47,608;-23,928;-1,8981;27,189;-2,3897;10,451;36,682;32,377;48,638;28,71;25,609;-28,811;3,4212;0,50629;84,116;-13,101;2,4496;-3,8845;81,187;-63,738;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;9,2164;
1022,309;12,115;-7,4861;2,7999;53,142;14,285;34,114;74,799;45,571;10,144;-7,9135;54,085;-14,515;66,999;21,514;4,4017;67,541;-31,056;-20,457;15,144;-4,8298;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;35,371;
1022,638;-35,356;-20,539;64,102;81,521;52,79;70,641;32,868;25,865;32,746;48,087;16,689;45,716;109,06;18,551;41,075;28,09;30,521;-14,045;44,296;65,371;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;6,015;
1022,967;5,286;-54,522;9,0781;50,059;37,936;47;85,981;17,532;16;-14,246;59,813;26,232;44,163;-7,572;46,65;29,508;4,3193;-22,201;-0,40422;19,863;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;4,4586;
1023,296;-25,401;-28,217;65,858;49,042;17,805;41,125;18,702;29,504;18,371;-45,877;24,279;17,401;4,6687;46,588;52,98;-35,919;81,682;-93,663;17,991;-42,805;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;-36,515;
1023,625;-45,582;4,3879;5,3009;33,766;-9,5585;6,7758;-10,589;47,345;49,742;-10,736;17,853;49,354;51,646;41,381;25,652;14,351;26,535;0,291;-36,819;-15,589;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;-37,321;
1023,954;12,628;45,552;50,104;36,17;0,065961;86,622;3,7604;-25,236;93,094;-11,372;7,4514;52,878;38,764;32;61,406;7,4028;54,802;-23,563;5,684;-10,406;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;-8,934;
1024,283;27,765;9,5336;-11,825;10,287;18,952;29,22;69,597;-6,4852;11,354;13,403;-24,537;6,4739;25,78;36,231;38,399;36,418;-44,168;-15,112;15,429;15,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;10,892;
1024,612;5,7865;-8,6286;4,2815;35,954;12,308;69,998;49,886;24,461;16,328;44,279;-5,932;-1,3714;-25,046;36,602;87,862;3,5559;-56,136;-50,631;-35,231;-20,629;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;-9,7185;
1024,941;-53,204;-12,503;73,185;46,82;79,27;39,97;55,689;-25,03;54,641;12,019;-21,24;19,317;17,508;22,371;87,803;-23,09;-5,7965;-68,689;14,898;-42,611;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;-7,1013;
1025,270;-32,226;14,806;94,393;45,4;48,87;42,735;35,833;-25,573;80,47;-26,491;5,2921;35,648;67,329;52,87;39,827;-3,0321;-5,4543;-33,762;34,653;-37,388;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;-40,064;
1025,599;10,76;20,575;6,8883;51,253;44,892;49,356;48,215;-24,232;85,06;16,936;-1,7206;24,648;35,304;15,932;36,721;16,468;-7,2277;-32,163;-2,8715;10,82;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;-10,54;
1025,929;-4,1942;-27,796;21;67,447;73,563;46,049;11,408;-11,893;60,622;-19,728;-18,291;23,35;29,427;5,7766;73,825;59,738;-2,6892;-30,66;52,204;28,466;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;-16,01;
1026,258;18,546;-19,449;4,9723;32,492;50,451;74,572;12,979;4,5199;15,478;-23,958;9,5095;3,4731;-9,0035;41,536;29,419;70,917;-4,9757;-25,931;31,905;34,957;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;22,023;
